"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2019","4.165","4.300","4.300","4.070","12.78K","-2.27%"
"08/30/2019","4.262","4.190","4.308","4.167","7.79K","1.15%"
"08/29/2019","4.213","4.244","4.323","4.174","17.40K","-1.18%"
"08/28/2019","4.263","4.149","4.300","4.149","11.67K","0.41%"
"08/27/2019","4.246","4.262","4.298","4.167","7.27K","0.05%"
"08/26/2019","4.244","4.079","4.244","4.079","14.68K","1.25%"
"08/23/2019","4.192","4.213","4.213","4.089","5.59K","-1.05%"
"08/22/2019","4.236","4.077","4.242","4.077","8.09K","-0.14%"
"08/21/2019","4.242","4.244","4.244","4.070","17.39K","4.19%"
"08/20/2019","4.072","4.087","4.143","4.070","8.70K","-4.24%"
"08/19/2019","4.252","4.252","4.252","4.004","10.64K","2.33%"
"08/16/2019","4.155","4.019","4.155","3.924","19.05K","5.93%"
"08/15/2019","3.923","3.923","4.016","3.923","26.96K","-0.64%"
"08/14/2019","3.948","4.145","4.145","3.944","19.44K","-1.92%"
"08/13/2019","4.025","4.070","4.192","3.973","17.96K","-4.75%"
"08/12/2019","4.226","4.538","4.538","4.226","13.76K","-3.95%"
"08/09/2019","4.400","4.524","4.524","4.318","29.05K","-2.74%"
"08/08/2019","4.524","4.584","4.584","4.432","34.13K","2.03%"
"08/07/2019","4.434","4.476","4.476","4.310","15.18K","1.00%"
"08/06/2019","4.390","4.350","4.434","4.350","20.44K","0.27%"
"08/05/2019","4.378","4.378","4.450","4.350","14.04K","-1.13%"
"08/02/2019","4.428","4.406","4.480","4.370","25.41K","-1.82%"
"08/01/2019","4.510","4.500","4.570","4.434","8.19K","0.22%"
"07/31/2019","4.500","4.376","4.540","4.376","12.48K","2.18%"
"07/30/2019","4.404","4.568","4.574","4.404","20.34K","-3.63%"
"07/29/2019","4.570","4.494","4.582","4.494","15.87K","1.69%"
"07/26/2019","4.494","4.388","4.498","4.388","43.43K","2.46%"
"07/25/2019","4.386","4.444","4.450","4.386","27.35K","-1.44%"
"07/24/2019","4.450","4.450","4.480","4.410","17.73K","0.00%"
"07/23/2019","4.450","4.400","4.484","4.350","59.66K","0.09%"
"07/22/2019","4.446","4.400","4.456","4.400","7.86K","0.95%"
"07/19/2019","4.404","4.450","4.460","4.400","42.26K","-0.50%"
"07/18/2019","4.426","4.462","4.476","4.426","14.03K","-0.81%"
"07/17/2019","4.462","4.500","4.502","4.462","16.06K","-0.71%"
"07/16/2019","4.494","4.542","4.542","4.460","117.43K","-0.84%"
"07/15/2019","4.532","4.630","4.630","4.510","21.84K","-1.22%"
"07/12/2019","4.588","4.600","4.600","4.500","12.24K","0.17%"
"07/11/2019","4.580","4.510","4.580","4.450","38.82K","1.55%"
"07/10/2019","4.510","4.520","4.620","4.500","66.97K","-2.68%"
"07/09/2019","4.634","4.502","4.634","4.464","20.12K","0.17%"
"07/08/2019","4.626","4.660","4.660","4.550","8.57K","0.26%"
"07/05/2019","4.614","4.594","4.638","4.450","19.12K","0.52%"
"07/04/2019","4.590","4.660","4.660","4.500","9.76K","2.64%"
"07/03/2019","4.472","4.680","4.680","4.460","36.79K","-2.99%"
"07/02/2019","4.610","4.580","4.610","4.522","16.62K","1.90%"
"07/01/2019","4.524","4.596","4.618","4.510","26.65K","-0.48%"
