"Date","Price","Open","High","Low","Change %"
"03/22/2000","5.885","5.885","5.885","5.885","-0.10%"
"03/21/2000","5.891","5.891","5.891","5.891","0.19%"
"03/20/2000","5.880","5.880","5.880","5.880","0.26%"
"03/17/2000","5.865","5.865","5.865","5.865","0.39%"
"03/16/2000","5.842","5.842","5.842","5.842","0.17%"
"03/15/2000","5.832","5.832","5.832","5.832","-0.43%"
"03/14/2000","5.857","5.857","5.857","5.857","0.02%"
"03/13/2000","5.856","5.856","5.856","5.856","1.19%"
"03/10/2000","5.787","5.787","5.787","5.787","-0.41%"
"03/09/2000","5.811","5.811","5.811","5.811","-0.02%"
"03/08/2000","5.812","5.812","5.812","5.812","0.00%"
"03/07/2000","5.812","5.812","5.812","5.812","0.17%"
"03/06/2000","5.802","5.802","5.802","5.802","0.26%"
"03/03/2000","5.787","5.787","5.787","5.787","0.85%"
"03/02/2000","5.738","5.738","5.738","5.738","-0.19%"
"03/01/2000","5.749","5.749","5.749","5.749","-0.74%"
"02/29/2000","5.792","5.792","5.792","5.792","-0.17%"
"02/28/2000","5.802","5.802","5.802","5.802","0.35%"
"02/25/2000","5.782","5.782","5.782","5.782","-0.41%"
"02/24/2000","5.806","5.806","5.806","5.806","-0.02%"
"02/23/2000","5.807","5.807","5.807","5.807","0.69%"
"02/22/2000","5.767","5.767","5.767","5.767","0.66%"
"02/18/2000","5.729","5.729","5.729","5.729","-0.05%"
"02/17/2000","5.732","5.732","5.732","5.732","0.35%"
"02/16/2000","5.712","5.712","5.712","5.712","1.46%"
"02/15/2000","5.630","5.630","5.630","5.630","0.66%"
"02/14/2000","5.593","5.593","5.593","5.593","-0.71%"
"02/11/2000","5.633","5.633","5.633","5.633","-0.37%"
"02/10/2000","5.654","5.654","5.654","5.654","0.44%"
"02/09/2000","5.629","5.629","5.629","5.629","-0.93%"
"02/08/2000","5.682","5.682","5.682","5.682","1.21%"
"02/07/2000","5.614","5.614","5.614","5.614","-0.20%"
"02/04/2000","5.625","5.625","5.625","5.625","0.23%"
"02/03/2000","5.612","5.612","5.612","5.612","0.27%"
"02/02/2000","5.597","5.597","5.597","5.597","-1.67%"
"02/01/2000","5.692","5.692","5.692","5.692","0.00%"
"01/31/2000","5.692","5.692","5.692","5.692","1.19%"
"01/28/2000","5.625","5.625","5.625","5.625","1.08%"
"01/27/2000","5.565","5.565","5.565","5.565","0.07%"
"01/26/2000","5.561","5.561","5.561","5.561","-0.11%"
"01/25/2000","5.567","5.567","5.567","5.567","2.20%"
"01/24/2000","5.447","5.447","5.447","5.447","0.37%"
"01/21/2000","5.427","5.427","5.427","5.427","-0.04%"
"01/20/2000","5.429","5.429","5.429","5.429","-0.97%"
"01/19/2000","5.482","5.482","5.482","5.482","2.03%"
"01/18/2000","5.373","5.373","5.373","5.373","-0.50%"
"01/14/2000","5.400","5.400","5.400","5.400","0.43%"
"01/13/2000","5.377","5.377","5.377","5.377","-0.79%"
"01/12/2000","5.420","5.420","5.420","5.420","-0.02%"
"01/11/2000","5.421","5.421","5.421","5.421","0.69%"
"01/10/2000","5.384","5.384","5.384","5.384","0.17%"
"01/07/2000","5.375","5.375","5.375","5.375","-0.33%"
"01/06/2000","5.393","5.393","5.393","5.393","-0.68%"
"01/05/2000","5.430","5.430","5.430","5.430","0.95%"
"01/04/2000","5.379","5.379","5.379","5.379","-0.48%"
"01/03/2000","5.405","5.405","5.405","5.405","3.80%"
"12/31/1999","5.207","5.207","5.207","5.207","0.39%"
"12/30/1999","5.187","5.187","5.187","5.187","-3.75%"
"12/28/1999","5.389","5.389","5.389","5.389","-1.06%"
"12/27/1999","5.447","5.447","5.447","5.447","-0.16%"
"12/23/1999","5.456","5.456","5.456","5.456","-0.96%"
"12/22/1999","5.509","5.509","5.509","5.509","-1.18%"
"12/21/1999","5.575","5.575","5.575","5.575","1.00%"
"12/20/1999","5.520","5.520","5.520","5.520","1.53%"
"12/17/1999","5.437","5.437","5.437","5.437","1.30%"
"12/16/1999","5.367","5.367","5.367","5.367","0.58%"
"12/15/1999","5.336","5.336","5.336","5.336","-0.17%"
"12/14/1999","5.345","5.345","5.345","5.345","1.02%"
"12/13/1999","5.291","5.291","5.291","5.291","1.59%"
"12/10/1999","5.208","5.208","5.208","5.208","-0.84%"
