"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2010","2.663","2.688","2.692","2.630","541.53K","1.84%"
"06/18/2010","2.615","2.586","2.644","2.538","697.79K","2.07%"
"06/17/2010","2.562","2.688","2.688","2.562","752.99K","-3.47%"
"06/16/2010","2.654","2.726","2.755","2.625","679.76K","-1.08%"
"06/15/2010","2.683","2.630","2.755","2.576","885.72K","0.90%"
"06/14/2010","2.659","2.596","2.659","2.542","641.12K","4.19%"
"06/11/2010","2.552","2.518","2.644","2.499","986.75K","2.12%"
"06/10/2010","2.499","2.295","2.518","2.286","838.40K","8.42%"
"06/09/2010","2.305","2.334","2.412","2.257","618.07K","-1.03%"
"06/08/2010","2.329","2.412","2.412","2.305","593.50K","-1.06%"
"06/07/2010","2.354","2.354","2.441","2.305","648.95K","0.00%"
"06/04/2010","2.354","2.567","2.591","2.354","565.97K","-7.58%"
"06/03/2010","2.547","2.518","2.562","2.489","513.90K","3.75%"
"06/02/2010","2.455","2.441","2.508","2.397","723.46K","-0.97%"
"06/01/2010","2.479","2.596","2.596","2.412","873.02K","-3.43%"
"05/31/2010","2.567","2.615","2.639","2.567","298.42K","-1.84%"
"05/28/2010","2.615","2.508","2.625","2.484","869.03K","5.87%"
"05/27/2010","2.470","2.436","2.489","2.334","1.09M","3.26%"
"05/26/2010","2.392","2.489","2.528","2.392","694.69K","-2.21%"
"05/25/2010","2.446","2.475","2.489","2.407","919.57K","-5.23%"
"05/24/2010","2.581","2.707","2.707","2.538","619.48K","-2.75%"
"05/21/2010","2.654","2.557","2.678","2.518","1.07M","2.63%"
"05/20/2010","2.586","2.751","2.785","2.538","1.02M","-4.29%"
"05/19/2010","2.702","2.780","2.828","2.683","786.39K","-5.43%"
"05/18/2010","2.857","2.770","2.939","2.760","1.13M","5.15%"
"05/17/2010","2.717","2.823","2.857","2.712","1.01M","-5.23%"
"05/14/2010","2.867","2.983","2.988","2.818","859.98K","-4.21%"
"05/13/2010","2.993","3.099","3.114","2.949","437.11K","-2.51%"
"05/12/2010","3.070","3.080","3.143","3.031","839.12K","0.16%"
"05/11/2010","3.065","3.099","3.153","2.969","834.99K","-3.80%"
"05/10/2010","3.186","2.988","3.196","2.906","1.95M","17.26%"
"05/07/2010","2.717","2.954","2.978","2.663","1.50M","-8.02%"
"05/06/2010","2.954","2.983","3.167","2.944","1.84M","-0.97%"
"05/05/2010","2.983","3.128","3.186","2.915","1.60M","-4.36%"
"05/04/2010","3.119","3.487","3.487","3.109","1.40M","-8.51%"
"05/03/2010","3.409","3.370","3.453","3.235","396.83K","0.56%"
"04/30/2010","3.390","3.424","3.462","3.337","754.97K","-0.15%"
"04/29/2010","3.395","3.206","3.404","3.206","911.70K","4.78%"
"04/28/2010","3.240","3.240","3.361","3.177","1.31M","-1.91%"
"04/27/2010","3.303","3.438","3.467","3.303","733.74K","-5.00%"
"04/26/2010","3.477","3.603","3.617","3.458","723.25K","-1.11%"
"04/23/2010","3.516","3.409","3.574","3.249","1.75M","2.69%"
"04/22/2010","3.424","3.564","3.593","3.419","1.68M","-4.97%"
"04/21/2010","3.603","3.632","3.680","3.554","725.16K","-0.14%"
"04/20/2010","3.608","3.632","3.661","3.564","1.46M","-1.04%"
"04/19/2010","3.646","3.559","3.709","3.448","1.20M","0.66%"
"04/16/2010","3.622","3.768","3.787","3.598","1.42M","-4.83%"
"04/15/2010","3.806","3.671","3.869","3.617","2.99M","3.14%"
"04/14/2010","3.690","3.467","3.714","3.429","2.64M","7.93%"
"04/13/2010","3.419","3.448","3.482","3.419","1.09M","-0.70%"
"04/12/2010","3.443","3.487","3.506","3.395","1.34M","0.00%"
"04/09/2010","3.443","3.535","3.584","3.380","1.89M","-0.84%"
"04/08/2010","3.472","3.453","3.574","3.351","1.83M","-0.29%"
"04/07/2010","3.482","3.245","3.525","3.216","3.74M","8.61%"
"04/06/2010","3.206","3.109","3.245","3.104","2.32M","3.92%"
"04/01/2010","3.085","3.104","3.123","3.051","621.87K","0.95%"
"03/31/2010","3.056","3.070","3.099","3.027","652.17K","-0.62%"
"03/30/2010","3.075","3.065","3.094","3.041","564.75K","1.45%"
"03/29/2010","3.031","3.070","3.085","3.031","826.93K","-0.66%"
"03/26/2010","3.051","3.061","3.094","3.002","636.79K","-0.16%"
"03/25/2010","3.056","2.954","3.085","2.944","2.17M","3.80%"
"03/24/2010","2.944","3.036","3.036","2.920","720.39K","-3.03%"
"03/23/2010","3.036","2.973","3.036","2.944","838.53K","2.78%"
"03/22/2010","2.954","2.978","2.978","2.843","833.70K","0.00%"
"03/19/2010","2.954","3.022","3.051","2.939","833.88K","-1.60%"
"03/18/2010","3.002","3.090","3.138","2.935","1.61M","-3.29%"
"03/17/2010","3.104","3.148","3.153","3.090","849.86K","-0.16%"
"03/16/2010","3.109","3.080","3.138","3.056","1.25M","1.90%"
"03/15/2010","3.051","3.090","3.099","3.041","298.40K","-0.62%"
"03/12/2010","3.070","3.051","3.138","3.041","927.66K","0.62%"
"03/11/2010","3.051","3.051","3.070","3.012","412.35K","-0.33%"
"03/10/2010","3.061","3.036","3.061","3.012","526.49K","1.63%"
"03/09/2010","3.012","3.080","3.080","3.002","503.50K","-0.95%"
"03/08/2010","3.041","3.138","3.138","3.041","546.00K","-2.03%"
"03/05/2010","3.104","3.075","3.157","3.061","665.92K","1.74%"
"03/04/2010","3.051","3.080","3.080","3.022","522.48K","-0.62%"
"03/03/2010","3.070","3.114","3.114","3.061","862.05K","-0.49%"
"03/02/2010","3.085","3.172","3.177","3.031","960.11K","-4.34%"
"03/01/2010","3.225","3.225","3.225","3.148","243.93K","1.83%"
"02/26/2010","3.167","3.153","3.196","3.085","302.65K","3.63%"
"02/25/2010","3.056","3.177","3.216","3.056","288.39K","-3.50%"
"02/24/2010","3.167","3.249","3.249","3.119","295.43K","-0.91%"
"02/23/2010","3.196","3.443","3.443","3.153","539.05K","-6.00%"
"02/22/2010","3.400","3.337","3.433","3.298","508.37K","2.50%"
"02/19/2010","3.317","3.216","3.337","3.206","261.50K","1.19%"
"02/18/2010","3.278","3.283","3.337","3.240","280.19K","-0.15%"
"02/17/2010","3.283","3.196","3.312","3.172","578.57K","5.26%"
"02/16/2010","3.119","3.186","3.254","3.119","523.01K","-1.20%"
"02/15/2010","3.157","3.216","3.225","3.157","166.15K","-0.16%"
"02/12/2010","3.162","3.283","3.293","3.119","453.50K","-2.26%"
"02/11/2010","3.235","3.259","3.259","3.148","859.15K","1.54%"
"02/10/2010","3.186","3.051","3.283","3.031","1.05M","6.13%"
"02/09/2010","3.002","3.109","3.109","2.925","1.18M","-2.97%"
"02/08/2010","3.094","3.206","3.341","3.056","623.94K","-3.04%"
"02/05/2010","3.191","3.206","3.283","3.085","1.22M","-0.78%"
"02/04/2010","3.216","3.535","3.584","3.051","1.56M","-8.77%"
"02/03/2010","3.525","3.690","3.734","3.496","421.73K","-3.32%"
"02/02/2010","3.646","3.516","3.719","3.487","423.15K","4.56%"
"02/01/2010","3.487","3.487","3.511","3.400","386.20K","0.58%"
"01/29/2010","3.467","3.477","3.550","3.448","813.60K","2.42%"
"01/28/2010","3.385","3.569","3.680","3.361","883.29K","-2.37%"
"01/27/2010","3.467","3.530","3.564","3.467","788.67K","-1.78%"
"01/26/2010","3.530","3.516","3.613","3.516","406.68K","-0.56%"
"01/25/2010","3.550","3.521","3.632","3.487","912.11K","0.57%"
"01/22/2010","3.530","3.661","3.743","3.496","752.71K","-3.18%"
"01/21/2010","3.646","3.797","3.850","3.646","589.28K","-3.98%"
"01/20/2010","3.797","4.005","4.019","3.729","609.27K","-5.08%"
"01/19/2010","4.000","3.981","4.005","3.903","220.89K","0.25%"
"01/18/2010","3.990","3.976","4.034","3.874","189.60K","-0.84%"
"01/15/2010","4.024","4.111","4.111","3.981","239.09K","-0.37%"
"01/14/2010","4.039","4.116","4.155","4.029","267.04K","-1.87%"
"01/13/2010","4.116","3.947","4.116","3.874","284.67K","4.68%"
"01/12/2010","3.932","4.107","4.116","3.903","289.03K","-3.67%"
"01/11/2010","4.082","4.213","4.213","4.048","259.32K","-0.83%"
"01/08/2010","4.116","4.208","4.252","3.985","529.46K","-1.18%"
