,date,ticker
57,2021-03-24,"['TEF' 'FER' 'SAN_1' 'CABK' 'SLR' 'IAG' 'CIE' 'MRL' 'ACS' 'ACX_2' 'MEL'
 'SGRE' 'AMS_1' 'ITX' 'BKT' 'CLNX']"
58,2021-03-25,"['TEF' 'ITX' 'CIE' 'SAN_1' 'CLNX' 'MEL' 'IAG' 'AMS_1' 'FER' 'MRL' 'BKT'
 'CABK' 'ACS' 'REP' 'ACX_2']"
59,2021-03-26,"['MRL' 'REP' 'ACS' 'MEL' 'CIE' 'AMS_1' 'BKT' 'IAG' 'ACX_2' 'ITX' 'CLNX'
 'CABK' 'TEF' 'FER']"
60,2021-03-29,"['CIE' 'MRL' 'BKT' 'ITX' 'REP' 'SAN_1' 'ACS' 'AMS_1' 'FER' 'CLNX' 'IAG'
 'ACX_2' 'CABK' 'TEF' 'MEL']"
61,2021-03-30,"['CIE' 'AMS_1' 'MEL' 'IAG' 'ITX' 'CLNX' 'ACS' 'BKT' 'CABK' 'REP' 'SAN_1'
 'MRL' 'TEF']"
62,2021-03-31,"['IAG' 'MRL' 'SAN_1' 'ITX' 'AMS_1' 'BKT' 'REP' 'CLNX' 'CIE' 'MEL' 'TEF'
 'CABK']"
63,2021-04-01,"['ITX' 'SAN_1' 'CABK' 'SGRE' 'MRL' 'MEL' 'IAG' 'REP' 'AMS_1' 'CIE' 'BKT'
 'CLNX']"
64,2021-04-06,"['AMS_1' 'SAN_1' 'CIE' 'IAG' 'CLNX' 'BKT' 'REP' 'MEL' 'MRL' 'ANA_2' 'ITX'
 'CABK']"
65,2021-04-07,['IAG' 'MEL' 'CABK' 'CIE' 'CLNX' 'BKT' 'AMS_1' 'REP' 'MRL' 'ITX' 'SAN_1']
66,2021-04-08,['PHM' 'IAG' 'CABK' 'CIE' 'SAN_1' 'ITX' 'CLNX' 'MEL' 'AMS_1' 'BKT' 'MRL']
67,2021-04-09,"['CABK' 'AMS_1' 'IAG' 'MEL' 'ITX' 'SAN_1' 'CLNX' 'MRL' 'SLR' 'CIE' 'SGRE'
 'BKT']"
68,2021-04-12,['MRL' 'BKT' 'SAN_1' 'CIE' 'CABK' 'IAG' 'ITX' 'AMS_1' 'CLNX']
69,2021-04-13,['CIE' 'IDR' 'CLNX' 'ITX' 'MTS' 'BKT' 'CABK' 'IAG' 'REP' 'AMS_1' 'SAN_1']
70,2021-04-14,['ITX' 'SAN_1' 'BKT' 'TEF' 'IDR' 'CLNX' 'CIE' 'CABK' 'IAG']
71,2021-04-15,['IDR' 'PHM' 'CLNX' 'CIE' 'IAG' 'BKT' 'CABK' 'TEF' 'ITX' 'SAN_1']
72,2021-04-16,['CIE' 'ITX' 'PHM' 'BKT' 'SAN_1' 'CLNX' 'CABK' 'IDR']
73,2021-04-19,"['BKT' 'MEL' 'AMS_1' 'IDR' 'CIE' 'CABK' 'TEF' 'PHM' 'MTS' 'SAN_1' 'SGRE'
 'ITX']"
74,2021-04-20,['ITX' 'BKT' 'IDR' 'MEL' 'MAP_2' 'SGRE' 'CABK' 'CIE' 'PHM' 'SLR']
75,2021-04-21,['IDR' 'CIE' 'SGRE' 'ITX' 'CABK' 'MAP_2' 'BKT']
76,2021-04-22,['BKT' 'CIE' 'MAP_2' 'CABK' 'ITX' 'SGRE' 'IDR']
77,2021-04-23,['BKT' 'CIE' 'MAP_2' 'ITX' 'IDR' 'SGRE' 'CABK' 'SLR']
78,2021-04-26,['MAP_2' 'ITX' 'MEL' 'IDR' 'BKT' 'CABK' 'SGRE' 'CIE']
79,2021-04-27,['IDR' 'SGRE' 'ITX' 'MAP_2' 'CABK' 'BKT' 'CIE']
80,2021-04-28,['BKT' 'CABK' 'ITX' 'IDR' 'PHM' 'SLR' 'CIE' 'MAP_2' 'SGRE']
81,2021-04-29,['ITX' 'CABK' 'IDR' 'CIE' 'SGRE' 'MAP_2']
82,2021-04-30,['CIE' 'CABK' 'SGRE' 'MAP_2' 'IDR' 'ITX']
83,2021-05-03,['CABK' 'IDR' 'CIE' 'ITX' 'MAP_2' 'SLR' 'SGRE']
84,2021-05-04,['ITX' 'CABK' 'SAN_1' 'MAP_2' 'CIE']
85,2021-05-05,['SAN_1' 'CABK' 'ITX' 'MAP_2' 'SGRE' 'IDR' 'MEL' 'CIE' 'IAG' 'TEF']
86,2021-05-06,['MEL' 'ITX' 'PHM' 'SAN_1' 'TEF' 'CABK' 'IAG' 'CIE']
87,2021-05-07,['SAN_1' 'ITX' 'MEL' 'IAG' 'TEF' 'CIE' 'CABK']
88,2021-05-10,['SGRE' 'CIE' 'MTS' 'IAG' 'ITX' 'CABK' 'SAN_1' 'MEL' 'AMS_1' 'IDR' 'REP']
89,2021-05-11,['ITX' 'MTS' 'SAN_1' 'CABK' 'CIE']
90,2021-05-12,['AMS_1' 'MEL' 'SAN_1' 'MTS' 'TEF' 'ITX' 'FDR' 'CABK' 'CIE']
91,2021-05-13,['FDR' 'SAN_1' 'CLNX' 'CIE' 'ITX' 'CABK']
92,2021-05-14,['CIE' 'CABK' 'CLNX' 'ITX' 'AMS_1' 'MTS' 'SAB' 'SAN_1' 'MEL']
93,2021-05-17,['CIE' 'MTS' 'SAN_1' 'CABK' 'MEL' 'ITX']
94,2021-05-18,['SAN_1' 'CABK' 'MTS' 'ITX' 'CIE' 'ANA_2']
95,2021-05-19,['AENA' 'ITX' 'SAN_1' 'CABK' 'ANA_2' 'CIE']
96,2021-05-20,['AENA' 'CIE' 'SAN_1' 'ANA_2' 'CABK' 'ITX']
97,2021-05-21,['SAN_1' 'ANA_2' 'AENA' 'PHM' 'SAB' 'CIE' 'CABK' 'ITX']
98,2021-05-24,['CIE' 'AMS_1' 'CABK' 'ITX' 'ANA_2' 'SAN_1' 'PHM']
99,2021-05-25,['SAN_1' 'PHM' 'AMS_1' 'CABK' 'ITX' 'ANA_2' 'MEL' 'CIE']
100,2021-05-26,['AMS_1' 'PHM' 'ITX' 'SAN_1' 'CIE' 'CABK' 'ANA_2']
101,2021-05-27,['AENA' 'SAB' 'PHM' 'ANA_2' 'CIE' 'MEL' 'SAN_1' 'ITX' 'AMS_1']
102,2021-05-28,['ITX' 'AMS_1' 'FDR' 'PHM' 'SAN_1' 'ANA_2' 'CABK' 'CIE' 'MEL']
103,2021-05-31,['SAN_1' 'CABK' 'ITX' 'CIE' 'AENA' 'FDR' 'TEF' 'PHM']
104,2021-06-01,['SAB' 'SLR' 'PHM' 'AMS_1' 'MEL' 'CIE' 'IAG' 'BBVA' 'TEF' 'MTS']
105,2021-06-02,['TEF' 'SLR' 'BKT' 'AMS_1' 'IAG' 'BBVA' 'SAB' 'MEL' 'CIE' 'PHM' 'MTS']
106,2021-06-03,['IAG' 'CIE' 'MEL' 'BBVA' 'AMS_1' 'PHM' 'TEF' 'SAB' 'MTS']
107,2021-06-04,['TEF' 'PHM' 'AMS_1' 'SAB' 'MEL' 'IAG' 'BBVA' 'CIE']
108,2021-06-07,['SAB' 'AMS_1' 'MEL' 'BBVA' 'CIE' 'IAG' 'PHM' 'TEF' 'MTS']
109,2021-06-08,['AMS_1' 'MEL' 'BBVA' 'PHM' 'SAB' 'TEF' 'IAG' 'CIE']
110,2021-06-09,"['CIE' 'MEL' 'MRL' 'SAN_1' 'AMS_1' 'ITX' 'BKT' 'BBVA' 'REP' 'ACX_2' 'TEF'
 'CABK' 'PHM' 'MTS']"
111,2021-06-10,"['BBVA' 'MRL' 'CIE' 'BKT' 'CABK' 'FDR' 'MTS' 'TEF' 'AMS_1' 'SAN_1' 'PHM'
 'ITX' 'ACX_2']"
